sample_fraction_coded,Batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
L853-20180801-A-03-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.066,NA,-24.206,NA,NA,NA,NA,NA,NA,NA,-27.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-A-03-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.337,NA,-24.731,NA,NA,NA,NA,NA,NA,NA,-26.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,A7_1,NA,NA,NA,NA,-24.711,NA,NA,-31.531,NA,NA,NA,NA,NA,NA,NA,-29.211,NA,-26.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,A7_1,NA,NA,NA,NA,-23.63,NA,NA,-31.425,NA,NA,NA,NA,NA,NA,NA,-29.242,NA,-26.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P3,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.127,NA,-26.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P3,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.126,NA,-26.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P4,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.476,NA,-26.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P4,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.477,NA,-26.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,A7_1,NA,NA,NA,NA,-26.062,NA,NA,-30.964,NA,NA,NA,-30.681,-31.483,NA,NA,-28.973,NA,-26.041,NA,-30.484,NA,NA,NA,-30.922,NA,NA,NA,NA,NA,-32.826,NA,NA,NA,NA,NA,NA,-19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,A7_1,NA,NA,NA,NA,-26.047,NA,NA,-30.559,NA,NA,NA,-30.533,-31.486,NA,NA,-28.838,NA,-25.564,NA,-30.287,NA,NA,NA,-30.945,NA,NA,NA,NA,NA,-32.844,NA,NA,NA,NA,NA,NA,-18.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
