sample,batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
LYO-20190810-A-09-P2,3,,,,,,,,,,,,,-16.873,,,,,-17.134,,,,-17.528,,,,-16.014,,-24.726,,,,,-14.247,-10.731,,,,,,-13.889,-13.693,,,-13.57,,,,,,,,,,,,,,,,,,,,,,,
LYO-20190810-A-09-P2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYO-20190810-A-32-P2,3,,,,,,,,,,,,,-14.64,,,-24.229,,-13.109,,,,,,-19.378,,-17.741,,,,,,,,-11.597,,,-13.687,,-13.386,-12.791,,,,-14.628,,,,,,,,,,,,,,,,,,,,,,,
LYO-20190810-A-32-P2,3,,,,,,,,,,,,,-14.581,,,-23.927,,-13.181,,,,,,-18.887,,-17.238,,,,,,,,-11.712,,,-13.886,,-15.014,-13.24,,,,-13.706,,,,,,,,,,,,,,,,,,,,,,,
HOP-20190811-E-01-P2,3,,,,,-21.552,,,-16.421,-14.836,-23.272,,-24.006,-21.731,,-17.346,,-19.166,-19.716,,,-20.203,,,,-20.128,-17.184,,-19.019,-16.463,-19.158,-28.57,,-17.517,-16.803,-19.915,,-18.129,,,-19.502,,,,-20.3,-17.347,,,,-18.688,-17.758,-20.001,,-21.39,-19.269,,-21.747,-19.141,-21.278,-19.186,,-21.052,-22.404,-21.689,,-20.907,-27.49,
HOP-20190811-E-01-P2,3,,,,,-21.526,,,-16.642,-15.206,-22.325,,-23.72,-21.934,,-16.618,,-19.175,-19.495,,,-20.072,,,,-19.911,-17.553,,-18.906,-16.578,-19.839,-28.376,,-17.67,-16.915,-19.969,,-18.32,,,-20.186,,,,-23.649,-16.327,,,,-18.059,-16.242,-19.233,,-21.047,-19.448,,,-19.923,-21.065,-17.896,,-21.307,-21.354,-20.916,,-24.029,,
CRI-20190804-G-01-P2,3,,,,,-22.23,-15.847,,-15.652,-14.548,-21.908,-19.295,-18.601,-19.384,-19.748,-19.628,,-16.321,-19.581,,-20.486,-17.113,,,,-23.008,-20.241,,-17.35,-15.644,-19.21,,,-17.851,-18.302,-20.695,,-16.818,,,-18.534,,-16.649,,-21.578,,,,,-20.869,-23.437,-20.823,,-21.489,-20.175,,,-20.917,-22.268,,,-21.638,-24.277,,-22.616,-26.431,,
CRI-20190804-G-01-P2,3,,,,-17.977,-22.072,-15.128,,-15.784,-14.72,-21.237,-18.729,-19.615,-18.92,-19.378,-19.637,,-16.167,-19.509,,-22.936,-16.918,,,,-21.892,-20.26,,-16.633,-15.58,-19.19,,,-18.043,-18.493,-20.328,,-17.501,,,-18.856,,-16.552,,-21.412,,,,,-21.182,-21.945,-20.659,,-20.552,-18.868,,,-21.212,-23.477,,,-21.025,-23.134,,-20.608,-24.747,,
YEL-20190804-F-01-P2,3,,,,,-24.333,,,-17.395,-15.475,,,,-20.907,,,-23.022,-14.753,-22.124,,,-18.948,,,,,-21.913,,-18.519,-16.275,,,,,-17.649,-21.491,,-18.853,,,-21.142,,-16.594,,-22.199,,,,,-18.265,,-20.342,,,,-17.469,,-20.018,-19.897,,,-19.377,,,-21.609,-24.668,,
YEL-20190804-F-01-P2,3,,,,,-24.739,,,-17.435,-14.952,,,,-21.154,,,-22.809,-16.657,-22.066,,,-18.226,,,,,-21.614,,-19.707,-16.675,,,,,-17.332,-20.911,,-18.906,,,-20.852,,-15.522,,-21.815,,,,,-18.645,,-20.734,,,,-17.499,,-19.807,-20.094,,,-20.02,,,-18.626,-24.027,,
