sample_name,cave,tn_pct,toc_pct,d15N_tn,d13C_toc,toc_mg,tn_mg,sample_color,sample_class,sample_class2,sample_location,field_season,sample_date,extraction_date,sample_g,tle_g,drip_doc_ppm_1,drip_doc_ppm_2,drip_doc_ppm_sd,drip_doc_ppm_avg,drip_doc_d13C_1,drip_doc_d13C_2,drip_doc_d13C_sd,drip_doc_d13C_avg,drip_dic_mM,drip_dic_d13C,sample_description
L490-20190807-A-04,L490,0.03851,0.60618,-0.16235,-27.56078,1.0395987,0.06604465,NA,polyp/coralloid,polyp/coralloid,cave,2019,8/7/19,29-Jan-20,5.28406,2.60E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralloid
L490-20190807-B-05,L490,1.93427,18.47823,1.86865,-30.31146,0.48043398,0.05029102,tan,ooze,ooze,cave,2019,8/7/19,4-Sep-19,0.048,6.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan ooze
L490-20190807-B-13,L490,NA,3.17926,NA,-33.78293,0.0476889,NA,white,cave biofilm,white biofilm,cave,2019,8/7/19,4-Sep-19,0.0045,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White biofilm
L780-20171109-A-20,L780,NA,NA,NA,NA,NA,NA,white,polyp/coralloid,polyp/coralloid,cave,2017,11/9/17,2017,16.3412,0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flat top polyps
L780-20171109-A-36,L780,0.031653528,0.304457156,-4.238897323,-25.11258191,NA,NA,white,mineral,mineral,cave,2017,11/9/17,2017,3.148,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White cauliflower
L780-20171110-C-30,L780,NA,NA,NA,NA,NA,NA,NA,field control,field control,cave,2017,11/10/17,2017,0.1492,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Witness
L780-20171110-D-24,L780,NA,NA,NA,NA,NA,NA,tan,cave biofilm,tan biofilm,cave,2017,11/10/17,2017,4.8346,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan biofilm
L780-20171110-D-34,L780,NA,NA,NA,NA,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2017,11/10/17,2017,7.7134,0.0023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black knob
L780-20190802-A-02,L780,NA,0.07517,NA,-29.77182,0.18589541,NA,yellow,cave biofilm,yellow biofilm,cave,2019,8/2/19,29-Jan-20,14.7113,0.00773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm
L780-20190802-B-03,L780,0.82805,12.08023,-0.55913,-27.05634,0.19328368,0.0132488,tan,ooze,ooze,cave,2019,8/2/19,9-Jan-20,0.03127,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan wall ooze
L780-20190805-E-07,L780,NA,NA,NA,NA,NA,NA,tan,surface soil,surface soil,surface,2019,8/5/19,9-Jun-20,9.2197,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface soil
L780-20190811-F-01,L780,1.23337,24.51666,1.97186,-27.00922,24.36956004,1.22596978,tan,surface soil,surface soil,surface,2019,8/11/19,9-Jan-20,8.85854,0.04349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface Soil
L820-20180802-A-07,L820,0.004567808,0.064110022,NA,-28.65919541,NA,NA,brown,mineral,mineral,cave,2018,8/2/18,29-Nov-18,27.3452,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown patina-covered lavasicles
L820-20180802-B-03,L820,0.004488186,0.121080583,NA,-32.92474413,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2018,8/2/18,8-Apr-19,31.8135,0.0021,8.242544574,8.517615492,0.194504511,8.380080033,-31.6429495,-31.47513733,0.118661123,-31.55904342,NA,NA,Yellow biofilm
L820-20180802-C-04,L820,0.004461683,0.169326156,NA,-26.71266333,NA,NA,white,polyp/coralloid,polyp/coralloid,cave,2018,8/2/18,12-Dec-18,21.4267,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Floor polyps
L820-20180802-D-01,L820,0.004618617,0.106305394,NA,-33.27419871,NA,NA,tan,cave biofilm,tan biofilm,cave,2018,8/2/18,12-Dec-18,14.7504,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan microbial biofilm
L820-20190808-B-03,L820,NA,4.33912,NA,-28.76829,0.18224304,NA,tan,ooze,ooze,cave,2019,8/8/19,29-Jan-20,0.2626,0.00446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan ooze
L820-20190808-E-01,L820,0.06599,2.83728,4.50184,-25.4146,4.74676944,0.11040127,tan,surface soil,surface soil,surface,2019,8/8/19,9-Jul-20,12.83822,7.50E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface Soil
L853-20180731-G-01,L853,0.12337636,0.841492641,-10.43074674,-29.53558144,NA,NA,white,cave biofilm,white biofilm,cave,2018,7/31/18,19-Nov-18,22.3092,0.0034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White microbial biofilm
L853-20180801-A-03,L853,6.155218785,35.38231237,2.887882355,-34.71317953,NA,NA,white,cave biofilm,white biofilm,cave,2018,8/1/18,26-Nov-18,0.0189,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White microbial biofilm
L853-20180801-B-01,L853,0.004440619,0.066644974,NA,-29.72157738,NA,NA,orange,mineral,mineral,cave,2018,8/1/18,19-Nov-18,30.5074,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange dots on lava drip
L853-20180801-C-01,L853,1.835217777,18.57442842,3.82827817,-32.15484889,NA,NA,tan,ooze,ooze,cave,2018,8/1/18,26-Nov-18,0.0689,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan/orange ooze
L853-20180801-E-03,L853,0.703071015,0.008940676,NA,-24.74510388,NA,NA,orange,mineral,mineral,cave,2018,8/1/18,26-Nov-18,12.22,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange cauliflower
L853-20180801-F-01,L853,4.790143029,31.73751309,4.702070898,-35.59981019,NA,NA,blue-green,cave biofilm,mixed biofilm,cave,2018,8/1/18,8-Nov-18,0.0896,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue-green microbial biofilm
L853-20180801-H-03,L853,4.204477144,27.65057966,-8.95852031,-26.73553477,NA,NA,tan,ooze,ooze,cave,2018,8/1/18,26-Nov-18,0.061,8.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan goo
L853-20190806-A-03,L853,NA,0.17741,NA,-27.85428,0.40041437,NA,NA,mineral,mineral,cave,2019,8/6/19,9-Jun-20,12.0484,0.0053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mineral crust
L853-20190806-B-03,L853,NA,0.65658,NA,-24.27601,0.3381387,NA,orange,mineral,mineral,cave,2019,8/6/19,15-Jun-20,10.1015,0.0157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cauliflower
